variable,category,count,percentage
报道体裁,消息,6091,40.2445
报道体裁,通讯,3351,22.1407
报道体裁,评论,3149,20.8061
报道体裁,深度报道,1558,10.294
报道体裁,科普与研究性文章,911,6.0192
报道体裁,图片,53,0.3502
报道体裁,政策解读,8,0.0529
报道体裁,专栏,4,0.0264
报道体裁,读者来信,3,0.0198
报道体裁,文件,2,0.0132
报道体裁,文件·报告·回忆录,2,0.0132
报道体裁,专栏：国外特写,1,0.0066
报道体裁,议案,1,0.0066
报道体裁,随笔,1,0.0066
报道主要信源,政府,11700,77.3043
报道主要信源,学术界,1104,7.2944
报道主要信源,企业,1014,6.6997
报道主要信源,媒体自采自评,702,4.6383
报道主要信源,涉及国际,375,2.4777
报道主要信源,普通公众,173,1.143
报道主要信源,环保组织,66,0.4361
报道主要信源,国际主体,1,0.0066
报道次要信源,企业,2448,19.4009
报道次要信源,媒体自采自评,2324,18.4181
报道次要信源,政府,2303,18.2517
报道次要信源,学术界,2134,16.9123
报道次要信源,普通公众,1964,15.5651
报道次要信源,涉及国际,1259,9.9778
报道次要信源,环保组织,129,1.0223
报道次要信源,国际主体,55,0.4359
报道次要信源,国际,1,0.0079
报道次要信源,学界,1,0.0079
报道情感倾向,积极,12619,83.3708
报道情感倾向,中立,2269,14.9908
报道情感倾向,消极,248,1.6385
报道议题,常规性议题,14504,95.8245
报道议题,周期性议题,436,2.8805
报道议题,突发性议题,193,1.2751
报道议题,全球环境治理或国际合作,3,0.0198
报道议题二级分类,环境政策法规,3635,24.0156
报道议题二级分类,产业优化或能源结构调整,3147,20.7915
报道议题二级分类,生态区或生物多样性,2628,17.3626
报道议题二级分类,全球环境治理或国际合作,1838,12.1432
报道议题二级分类,水污染防治,1409,9.3089
报道议题二级分类,大气污染防治,674,4.453
报道议题二级分类,公共卫生,498,3.2902
报道议题二级分类,固体废物处置处理,418,2.7616
报道议题二级分类,环境宣传教育,364,2.4049
报道议题二级分类,公众参与,231,1.5262
报道议题二级分类,生态科技创新,134,0.8853
报道议题二级分类,土壤污染防治,79,0.5219
报道议题二级分类,核与辐射污染防治,51,0.3369
报道议题二级分类,化学品污染防治,17,0.1123
报道议题二级分类,重金属污染防治,8,0.0529
报道议题二级分类,生态修复,3,0.0198
报道议题二级分类,水土污染防治,1,0.0066
报道议题二级分类,生态和环境污染,1,0.0066
叙述方式,硬新闻,11258,74.379
叙述方式,软新闻,3878,25.621
关涉主体,政府,11905,78.6535
关涉主体,国际主体,1287,8.5029
关涉主体,企业,1166,7.7035
关涉主体,学界,424,2.8013
关涉主体,普通公众,309,2.0415
关涉主体,环保组织,45,0.2973
关涉主体二级分类,完善政策法规,7067,46.69
关涉主体二级分类,生态修复,1744,11.5222
关涉主体二级分类,跨国合作,1260,8.3245
关涉主体二级分类,国际协作,909,6.0055
关涉主体二级分类,污染防治,905,5.9791
关涉主体二级分类,节能减排,821,5.4242
关涉主体二级分类,引导公众参与,737,4.8692
关涉主体二级分类,技术创新,325,2.1472
关涉主体二级分类,监管机制建构,238,1.5724
关涉主体二级分类,科技创新,228,1.5063
关涉主体二级分类,辅助治理,191,1.2619
关涉主体二级分类,模范示例,168,1.1099
关涉主体二级分类,知识学习,116,0.7664
关涉主体二级分类,服务社会,107,0.7069
关涉主体二级分类,科普大众,80,0.5285
关涉主体二级分类,环境信息公开,42,0.2775
关涉主体二级分类,问责处理,27,0.1784
关涉主体二级分类,承认不足,24,0.1586
关涉主体二级分类,财政投入,24,0.1586
关涉主体二级分类,环保监督,22,0.1453
关涉主体二级分类,组织活动,22,0.1453
关涉主体二级分类,环境监督,17,0.1123
关涉主体二级分类,呼吁倡导,13,0.0859
关涉主体二级分类,违法排放,10,0.0661
关涉主体二级分类,科普宣传,9,0.0595
关涉主体二级分类,环保投入不足,8,0.0529
关涉主体二级分类,建言献策,7,0.0462
关涉主体二级分类,传统产能依赖,4,0.0264
关涉主体二级分类,管理机制缺陷,4,0.0264
关涉主体二级分类,科普教育,3,0.0198
关涉主体二级分类,其他,2,0.0132
关涉主体二级分类,公众参与,1,0.0066
关涉主体二级分类,权益维护,1,0.0066
