year,category,count,percentage
1949,消息,22,81.4815
1949,科普与研究性文章,4,14.8148
1949,评论,1,3.7037
1950,消息,29,87.8788
1950,科普与研究性文章,2,6.0606
1950,评论,1,3.0303
1950,通讯,1,3.0303
1951,消息,10,83.3333
1951,评论,1,8.3333
1951,通讯,1,8.3333
1952,图片,2,2.7027
1952,消息,35,47.2973
1952,深度报道,1,1.3514
1952,科普与研究性文章,7,9.4595
1952,评论,12,16.2162
1952,读者来信,1,1.3514
1952,通讯,16,21.6216
1953,消息,15,75.0
1953,科普与研究性文章,1,5.0
1953,评论,2,10.0
1953,通讯,2,10.0
1954,图片,1,6.25
1954,消息,10,62.5
1954,科普与研究性文章,2,12.5
1954,评论,1,6.25
1954,通讯,2,12.5
1955,消息,5,45.4545
1955,科普与研究性文章,3,27.2727
1955,评论,2,18.1818
1955,通讯,1,9.0909
1956,消息,5,41.6667
1956,科普与研究性文章,1,8.3333
1956,评论,4,33.3333
1956,通讯,2,16.6667
1957,图片,1,2.0833
1957,消息,35,72.9167
1957,科普与研究性文章,1,2.0833
1957,评论,5,10.4167
1957,通讯,6,12.5
1958,图片,4,2.1505
1958,消息,133,71.5054
1958,科普与研究性文章,8,4.3011
1958,评论,17,9.1398
1958,通讯,24,12.9032
1959,消息,40,55.5556
1959,科普与研究性文章,12,16.6667
1959,评论,10,13.8889
1959,通讯,10,13.8889
1960,图片,1,1.2821
1960,消息,40,51.2821
1960,科普与研究性文章,9,11.5385
1960,评论,8,10.2564
1960,通讯,20,25.641
1961,消息,14,63.6364
1961,科普与研究性文章,3,13.6364
1961,评论,1,4.5455
1961,通讯,4,18.1818
1962,消息,5,50.0
1962,科普与研究性文章,4,40.0
1962,通讯,1,10.0
1963,消息,5,27.7778
1963,科普与研究性文章,11,61.1111
1963,评论,1,5.5556
1963,通讯,1,5.5556
1964,消息,5,33.3333
1964,科普与研究性文章,7,46.6667
1964,评论,1,6.6667
1964,通讯,2,13.3333
1965,消息,4,36.3636
1965,科普与研究性文章,1,9.0909
1965,评论,3,27.2727
1965,通讯,3,27.2727
1966,消息,1,50.0
1966,通讯,1,50.0
1968,通讯,1,100.0
1969,消息,8,66.6667
1969,评论,2,16.6667
1969,通讯,2,16.6667
1970,消息,10,83.3333
1970,评论,1,8.3333
1970,通讯,1,8.3333
1971,消息,4,44.4444
1971,科普与研究性文章,1,11.1111
1971,评论,1,11.1111
1971,通讯,3,33.3333
1972,消息,19,76.0
1972,评论,1,4.0
1972,通讯,5,20.0
1973,消息,12,52.1739
1973,科普与研究性文章,2,8.6957
1973,评论,2,8.6957
1973,通讯,7,30.4348
1974,消息,19,73.0769
1974,科普与研究性文章,1,3.8462
1974,评论,2,7.6923
1974,通讯,4,15.3846
1976,消息,1,50.0
1976,通讯,1,50.0
1977,消息,1,100.0
1978,消息,3,60.0
1978,科普与研究性文章,1,20.0
1978,通讯,1,20.0
1979,消息,1,12.5
1979,深度报道,1,12.5
1979,科普与研究性文章,3,37.5
1979,评论,3,37.5
1980,消息,6,30.0
1980,深度报道,1,5.0
1980,科普与研究性文章,4,20.0
1980,评论,9,45.0
1981,消息,7,50.0
1981,科普与研究性文章,3,21.4286
1981,评论,2,14.2857
1981,通讯,2,14.2857
1982,消息,6,42.8571
1982,科普与研究性文章,6,42.8571
1982,评论,1,7.1429
1982,通讯,1,7.1429
1983,消息,1,9.0909
1983,科普与研究性文章,1,9.0909
1983,评论,6,54.5455
1983,通讯,3,27.2727
1984,消息,5,29.4118
1984,科普与研究性文章,4,23.5294
1984,评论,5,29.4118
1984,通讯,3,17.6471
1985,消息,5,33.3333
1985,深度报道,1,6.6667
1985,科普与研究性文章,4,26.6667
1985,评论,3,20.0
1985,通讯,2,13.3333
1986,消息,4,33.3333
1986,科普与研究性文章,5,41.6667
1986,评论,2,16.6667
1986,通讯,1,8.3333
1987,消息,10,55.5556
1987,科普与研究性文章,4,22.2222
1987,评论,2,11.1111
1987,通讯,2,11.1111
1988,消息,11,50.0
1988,科普与研究性文章,5,22.7273
1988,评论,2,9.0909
1988,通讯,4,18.1818
1989,专栏,1,2.439
1989,消息,14,34.1463
1989,深度报道,2,4.878
1989,科普与研究性文章,10,24.3902
1989,评论,8,19.5122
1989,通讯,5,12.1951
1989,随笔,1,2.439
1990,图片,1,2.7027
1990,文件·报告·回忆录,1,2.7027
1990,消息,13,35.1351
1990,深度报道,3,8.1081
1990,科普与研究性文章,5,13.5135
1990,评论,4,10.8108
1990,通讯,10,27.027
1991,消息,16,47.0588
1991,深度报道,1,2.9412
1991,科普与研究性文章,6,17.6471
1991,评论,7,20.5882
1991,通讯,4,11.7647
1992,消息,22,44.0
1992,科普与研究性文章,11,22.0
1992,评论,7,14.0
1992,通讯,10,20.0
1993,消息,9,34.6154
1993,科普与研究性文章,6,23.0769
1993,评论,5,19.2308
1993,通讯,6,23.0769
1994,文件·报告·回忆录,1,3.8462
1994,消息,9,34.6154
1994,科普与研究性文章,5,19.2308
1994,评论,5,19.2308
1994,通讯,6,23.0769
1995,专栏：国外特写,1,2.0408
1995,文件,1,2.0408
1995,消息,24,48.9796
1995,科普与研究性文章,10,20.4082
1995,评论,7,14.2857
1995,通讯,6,12.2449
1996,专栏,1,1.5152
1996,图片,1,1.5152
1996,消息,24,36.3636
1996,深度报道,2,3.0303
1996,科普与研究性文章,11,16.6667
1996,评论,19,28.7879
1996,读者来信,1,1.5152
1996,通讯,7,10.6061
1997,消息,37,45.122
1997,深度报道,5,6.0976
1997,科普与研究性文章,8,9.7561
1997,评论,16,19.5122
1997,通讯,16,19.5122
1998,消息,44,42.3077
1998,深度报道,5,4.8077
1998,科普与研究性文章,14,13.4615
1998,评论,18,17.3077
1998,通讯,23,22.1154
1999,文件,1,0.8
1999,消息,48,38.4
1999,深度报道,8,6.4
1999,科普与研究性文章,11,8.8
1999,评论,19,15.2
1999,通讯,38,30.4
2000,消息,45,41.2844
2000,深度报道,4,3.6697
2000,科普与研究性文章,7,6.422
2000,评论,20,18.3486
2000,通讯,33,30.2752
2001,专栏,1,0.641
2001,图片,1,0.641
2001,消息,64,41.0256
2001,深度报道,8,5.1282
2001,科普与研究性文章,17,10.8974
2001,评论,33,21.1538
2001,通讯,32,20.5128
