year,category,count,percentage
1949,政府,27,100.0
1950,国际主体,1,3.0303
1950,政府,32,96.9697
1951,政府,12,100.0
1952,国际主体,3,4.0541
1952,学界,2,2.7027
1952,政府,64,86.4865
1952,普通公众,5,6.7568
1953,政府,18,90.0
1953,普通公众,2,10.0
1954,企业,1,6.25
1954,学界,1,6.25
1954,政府,11,68.75
1954,普通公众,3,18.75
1955,企业,2,18.1818
1955,学界,1,9.0909
1955,政府,8,72.7273
1956,学界,2,16.6667
1956,政府,9,75.0
1956,普通公众,1,8.3333
1957,企业,2,4.1667
1957,学界,4,8.3333
1957,政府,40,83.3333
1957,普通公众,2,4.1667
1958,企业,1,0.5376
1958,学界,4,2.1505
1958,政府,162,87.0968
1958,普通公众,19,10.2151
1959,企业,1,1.3889
1959,学界,4,5.5556
1959,政府,61,84.7222
1959,普通公众,6,8.3333
1960,企业,1,1.2821
1960,学界,6,7.6923
1960,政府,65,83.3333
1960,普通公众,6,7.6923
1961,企业,1,4.5455
1961,学界,3,13.6364
1961,政府,18,81.8182
1962,企业,2,20.0
1962,学界,3,30.0
1962,政府,5,50.0
1963,企业,2,11.1111
1963,学界,5,27.7778
1963,政府,11,61.1111
1964,学界,5,33.3333
1964,政府,8,53.3333
1964,普通公众,2,13.3333
1965,学界,2,18.1818
1965,政府,6,54.5455
1965,普通公众,3,27.2727
1966,政府,2,100.0
1968,政府,1,100.0
1969,政府,12,100.0
1970,企业,2,16.6667
1970,国际主体,1,8.3333
1970,政府,9,75.0
1971,国际主体,1,11.1111
1971,政府,7,77.7778
1971,普通公众,1,11.1111
1972,企业,1,4.0
1972,国际主体,7,28.0
1972,政府,15,60.0
1972,普通公众,2,8.0
1973,企业,3,13.0435
1973,国际主体,4,17.3913
1973,学界,2,8.6957
1973,政府,12,52.1739
1973,普通公众,2,8.6957
1974,国际主体,8,30.7692
1974,政府,15,57.6923
1974,普通公众,3,11.5385
1976,企业,1,50.0
1976,政府,1,50.0
1977,政府,1,100.0
1978,政府,5,100.0
1979,国际主体,1,12.5
1979,政府,7,87.5
1980,国际主体,1,5.0
1980,学界,3,15.0
1980,政府,16,80.0
1981,学界,1,7.1429
1981,政府,13,92.8571
1982,国际主体,1,7.1429
1982,学界,1,7.1429
1982,政府,12,85.7143
1983,国际主体,1,9.0909
1983,学界,1,9.0909
1983,政府,9,81.8182
1984,学界,2,11.7647
1984,政府,15,88.2353
1985,国际主体,1,6.6667
1985,学界,4,26.6667
1985,政府,10,66.6667
1986,学界,5,41.6667
1986,政府,6,50.0
1986,普通公众,1,8.3333
1987,国际主体,3,16.6667
1987,学界,4,22.2222
1987,政府,11,61.1111
1988,企业,1,4.5455
1988,国际主体,6,27.2727
1988,学界,1,4.5455
1988,政府,14,63.6364
1989,国际主体,13,31.7073
1989,学界,5,12.1951
1989,政府,21,51.2195
1989,普通公众,2,4.878
1990,国际主体,9,24.3243
1990,学界,1,2.7027
1990,政府,24,64.8649
1990,普通公众,2,5.4054
1990,环保组织,1,2.7027
1991,国际主体,8,23.5294
1991,学界,3,8.8235
1991,政府,21,61.7647
1991,环保组织,2,5.8824
1992,国际主体,7,14.0
1992,学界,1,2.0
1992,政府,42,84.0
1993,企业,1,3.8462
1993,国际主体,3,11.5385
1993,学界,2,7.6923
1993,政府,19,73.0769
1993,普通公众,1,3.8462
1994,国际主体,4,15.3846
1994,学界,2,7.6923
1994,政府,19,73.0769
1994,普通公众,1,3.8462
1995,国际主体,3,6.1224
1995,学界,3,6.1224
1995,政府,42,85.7143
1995,普通公众,1,2.0408
1996,国际主体,5,7.5758
1996,学界,4,6.0606
1996,政府,54,81.8182
1996,普通公众,3,4.5455
1997,企业,5,6.0976
1997,国际主体,11,13.4146
1997,学界,4,4.878
1997,政府,58,70.7317
1997,普通公众,3,3.6585
1997,环保组织,1,1.2195
1998,企业,7,6.7308
1998,国际主体,7,6.7308
1998,学界,7,6.7308
1998,政府,81,77.8846
1998,普通公众,1,0.9615
1998,环保组织,1,0.9615
1999,企业,6,4.8
1999,国际主体,5,4.0
1999,学界,4,3.2
1999,政府,106,84.8
1999,普通公众,4,3.2
2000,企业,6,5.5046
2000,国际主体,10,9.1743
2000,学界,2,1.8349
2000,政府,86,78.8991
2000,普通公众,3,2.7523
2000,环保组织,2,1.8349
2001,企业,5,3.2051
2001,国际主体,11,7.0513
2001,学界,6,3.8462
2001,政府,127,81.4103
2001,普通公众,6,3.8462
2001,环保组织,1,0.641
2002,企业,2,1.3793
2002,国际主体,10,6.8966
2002,学界,4,2.7586
2002,政府,127,87.5862
2002,普通公众,1,0.6897
2002,环保组织,1,0.6897
2003,企业,10,4.4053
2003,国际主体,5,2.2026
2003,学界,7,3.0837
2003,政府,190,83.7004
2003,普通公众,13,5.7269
2003,环保组织,2,0.8811
2004,企业,27,9.2466
2004,国际主体,7,2.3973
2004,学界,13,4.4521
2004,政府,235,80.4795
2004,普通公众,8,2.7397
2004,环保组织,2,0.6849
2005,企业,23,7.2327
2005,国际主体,23,7.2327
2005,学界,9,2.8302
2005,政府,256,80.5031
2005,普通公众,7,2.2013
2006,企业,22,6.6667
2006,国际主体,16,4.8485
2006,学界,13,3.9394
2006,政府,273,82.7273
2006,普通公众,6,1.8182
2007,企业,32,7.3563
2007,国际主体,47,10.8046
2007,学界,15,3.4483
2007,政府,328,75.4023
2007,普通公众,10,2.2989
2007,环保组织,3,0.6897
2008,企业,28,9.2409
2008,国际主体,26,8.5809
2008,学界,5,1.6502
2008,政府,236,77.8878
2008,普通公众,7,2.3102
2008,环保组织,1,0.33
2009,企业,18,4.6997
2009,国际主体,45,11.7493
2009,学界,7,1.8277
2009,政府,304,79.3734
2009,普通公众,7,1.8277
2009,环保组织,2,0.5222
2010,企业,70,11.236
2010,国际主体,54,8.6677
2010,学界,18,2.8892
2010,政府,463,74.3178
2010,普通公众,16,2.5682
2010,环保组织,2,0.321
2011,企业,43,9.9768
2011,国际主体,25,5.8005
2011,学界,10,2.3202
2011,政府,340,78.8863
2011,普通公众,12,2.7842
2011,环保组织,1,0.232
2012,企业,46,9.1816
2012,国际主体,22,4.3912
2012,学界,12,2.3952
2012,政府,409,81.6367
2012,普通公众,11,2.1956
2012,环保组织,1,0.1996
2013,企业,53,8.1413
