year,category,count,percentage
1949,常规性议题,17,62.963
1949,突发性议题,10,37.037
1950,常规性议题,30,90.9091
1950,突发性议题,3,9.0909
1951,常规性议题,11,91.6667
1951,突发性议题,1,8.3333
1952,常规性议题,58,78.3784
1952,突发性议题,16,21.6216
1953,常规性议题,17,85.0
1953,突发性议题,3,15.0
1954,常规性议题,16,100.0
1955,常规性议题,11,100.0
1956,常规性议题,12,100.0
1957,周期性议题,1,2.0833
1957,常规性议题,47,97.9167
1958,周期性议题,2,1.0753
1958,常规性议题,184,98.9247
1959,周期性议题,1,1.3889
1959,常规性议题,71,98.6111
1960,常规性议题,78,100.0
1961,常规性议题,22,100.0
1962,常规性议题,10,100.0
1963,常规性议题,18,100.0
1964,常规性议题,15,100.0
1965,常规性议题,11,100.0
1966,常规性议题,2,100.0
1968,常规性议题,1,100.0
1969,常规性议题,11,91.6667
1969,突发性议题,1,8.3333
1970,常规性议题,11,91.6667
1970,突发性议题,1,8.3333
1971,常规性议题,8,88.8889
1971,突发性议题,1,11.1111
1972,周期性议题,1,4.0
1972,常规性议题,21,84.0
1972,突发性议题,3,12.0
1973,周期性议题,1,4.3478
1973,常规性议题,19,82.6087
1973,突发性议题,3,13.0435
1974,常规性议题,26,100.0
1976,常规性议题,2,100.0
1977,常规性议题,1,100.0
1978,常规性议题,5,100.0
1979,常规性议题,8,100.0
1980,常规性议题,20,100.0
1981,常规性议题,14,100.0
1982,常规性议题,14,100.0
1983,常规性议题,11,100.0
1984,常规性议题,17,100.0
1985,周期性议题,1,6.6667
1985,常规性议题,14,93.3333
1986,常规性议题,12,100.0
1987,周期性议题,1,5.5556
1987,常规性议题,17,94.4444
1988,周期性议题,1,4.5455
1988,常规性议题,20,90.9091
1988,突发性议题,1,4.5455
1989,周期性议题,1,2.439
1989,常规性议题,39,95.122
1989,突发性议题,1,2.439
1990,周期性议题,2,5.4054
1990,常规性议题,32,86.4865
1990,突发性议题,3,8.1081
1991,周期性议题,3,8.8235
1991,常规性议题,28,82.3529
1991,突发性议题,3,8.8235
1992,全球环境治理或国际合作,1,2.0
1992,周期性议题,4,8.0
1992,常规性议题,42,84.0
1992,突发性议题,3,6.0
1993,常规性议题,26,100.0
1994,周期性议题,1,3.8462
1994,常规性议题,25,96.1538
1995,周期性议题,2,4.0816
1995,常规性议题,46,93.8776
1995,突发性议题,1,2.0408
1996,周期性议题,3,4.5455
1996,常规性议题,63,95.4545
1997,周期性议题,3,3.6585
1997,常规性议题,78,95.122
1997,突发性议题,1,1.2195
1998,周期性议题,4,3.8462
1998,常规性议题,98,94.2308
1998,突发性议题,2,1.9231
1999,周期性议题,1,0.8
1999,常规性议题,122,97.6
1999,突发性议题,2,1.6
2000,周期性议题,1,0.9174
2000,常规性议题,104,95.4128
2000,突发性议题,4,3.6697
2001,周期性议题,3,1.9231
2001,常规性议题,150,96.1538
2001,突发性议题,3,1.9231
2002,周期性议题,7,4.8276
2002,常规性议题,136,93.7931
2002,突发性议题,2,1.3793
2003,常规性议题,226,99.5595
2003,突发性议题,1,0.4405
2004,周期性议题,3,1.0274
2004,常规性议题,286,97.9452
2004,突发性议题,3,1.0274
2005,全球环境治理或国际合作,1,0.3145
2005,周期性议题,4,1.2579
2005,常规性议题,309,97.1698
2005,突发性议题,4,1.2579
2006,周期性议题,1,0.303
2006,常规性议题,323,97.8788
2006,突发性议题,6,1.8182
2007,周期性议题,17,3.908
2007,常规性议题,412,94.7126
2007,突发性议题,6,1.3793
2008,周期性议题,18,5.9406
2008,常规性议题,283,93.3993
2008,突发性议题,2,0.6601
2009,周期性议题,23,6.0052
2009,常规性议题,356,92.9504
2009,突发性议题,4,1.0444
2010,周期性议题,19,3.0498
2010,常规性议题,589,94.5425
2010,突发性议题,15,2.4077
2011,周期性议题,7,1.6241
2011,常规性议题,417,96.7517
2011,突发性议题,7,1.6241
2012,周期性议题,9,1.7964
2012,常规性议题,487,97.2056
2012,突发性议题,5,0.998
2013,周期性议题,9,1.3825
2013,常规性议题,630,96.7742
2013,突发性议题,12,1.8433
2014,周期性议题,11,1.7799
2014,常规性议题,603,97.5728
2014,突发性议题,4,0.6472
2015,周期性议题,36,4.9315
2015,常规性议题,694,95.0685
2016,周期性议题,22,3.0683
2016,常规性议题,691,96.3738
2016,突发性议题,4,0.5579
2017,周期性议题,10,1.321
2017,常规性议题,742,98.0185
2017,突发性议题,5,0.6605
2018,周期性议题,18,2.1352
2018,常规性议题,819,97.153
2018,突发性议题,6,0.7117
2019,周期性议题,23,4.2125
2019,常规性议题,521,95.4212
2019,突发性议题,2,0.3663
2020,周期性议题,14,2.4014
2020,常规性议题,558,95.7118
2020,突发性议题,11,1.8868
2021,周期性议题,55,5.6237
2021,常规性议题,918,93.865
2021,突发性议题,5,0.5112
2022,周期性议题,24,2.6172
2022,常规性议题,887,96.7285
2022,突发性议题,6,0.6543
2023,周期性议题,38,3.9832
2023,常规性议题,902,94.5493
2023,突发性议题,14,1.4675
2024,全球环境治理或国际合作,1,0.0985
2024,周期性议题,31,3.0542
2024,常规性议题,980,96.5517
2024,突发性议题,3,0.2956
